Fosforo	Micorriza	Diametro
0	0	4,58
0	0	4,4
0	0	3,64
0	0	4,73
0	0	5,87
0	0	4,69
0	0	4,86
0	0	4,54
0	1	5,09
0	1	4,93
0	1	7,08
0	1	7,81
0	1	8,87
0	1	6,52
0	1	6,8
0	1	8,3
100	0	3,58
100	0	7,63
100	0	10,07
100	0	8,33
100	0	5,78
100	0	5,64
100	0	7,56
100	0	9,74
100	1	8,88
100	1	5,25
100	1	6,35
100	1	9,92
100	1	8,35
100	1	6,01
100	1	7,94
100	1	10,25
200	0	9,72
200	0	9,82
200	0	9,53
200	0	9,99
200	0	6,73
200	0	10,09
200	0	10,72
200	0	10,2
200	1	9,8
200	1	10,65
200	1	10,36
200	1	10,43
200	1	10,14
200	1	11,28
200	1	10,85
200	1	8,33
300	0	8,59
300	0	11,15
300	0	9,75
300	0	10,72
300	0	11,18
300	0	9,57
300	0	9,86
300	1	10,2
300	1	10,11
300	1	11,14
300	1	7,8
300	1	10,67
300	1	12,37
300	1	10,07
300	1	12,38
300	0	11,39
400	0	12,71
400	0	10,13
400	0	9,97
400	0	14,03
400	0	8,19
400	0	9,86
400	0	11,37
400	0	13,49
400	1	10,65
400	1	10,95
400	1	11,37
400	1	10,39
400	1	13,2
400	1	10,96
400	1	11,68
400	1	9,33
500	0	12,82
500	0	12,83
500	0	11,98
500	0	11,3
500	0	10,8
500	0	13,61
500	0	9
500	0	11,18
500	1	13,99
500	1	13,52
500	1	10,37
500	1	13,59
500	1	13,97
500	1	12,2
500	1	12,21
500	1	10,25
